OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,309,1,309,4,78,13,95,214,41,268,75,234,87,222,31.652582314959215,4.625575592025496
2,6,2,6,0,0,0,0,6,3,3,0,6,0,6,5.532011617744966,0.459702601180630
3,745,3,745,0,0,85,85,660,63,682,13,732,130,615,20.101205100762389,1.360511159600084
4,190,4,190,0,0,0,0,190,5,185,0,190,22,168,8.659101644461440,0.764980362563783
5,463,5,463,0,100,0,100,363,26,437,36,427,153,310,12.250581244791922,1.638859680366131
6,154,6,154,11,0,30,41,113,9,145,0,154,3,151,9.565782119257808,0.974541465553969
7,173,7,173,42,17,0,59,114,19,154,38,135,10,163,129.452622681777400,7.794306285101017
8,13,8,13,0,0,0,0,13,0,13,0,13,0,13,2.485415962523863,0.055148012793993
9,2372,9,2372,35,458,537,1030,1347,111,2261,1331,1041,1201,1171,12.169852521721037,3.990424221580781
10,898,10,898,0,0,0,0,898,35,863,0,898,141,757,11.249195162316779,3.031572801381985
11,397,11,397,0,0,0,0,397,5,392,0,397,39,358,15.630412258900391,2.814932558738421
12,1040,12,1040,0,0,0,0,1040,460,580,0,1040,53,987,32.311926643889642,3.942800999319827
13,4419,13,4419,205,1544,1069,2818,1765,516,3903,315,4104,835,3584,41.312590731237563,11.941943778489515
14,1677,14,1677,40,118,301,459,1250,169,1508,113,1564,384,1293,19.376102694462588,3.033327502897022
15,8431,15,8431,653,2817,382,3852,4957,1953,6478,3441,4990,2735,5696,22.961417323658534,12.481025532768541
16,1176,16,1176,186,252,104,542,688,65,1111,20,1156,270,906,53.249992514628012,10.313370495716866
17,539,17,539,63,173,36,272,293,11,528,0,539,250,289,46.795915545469803,5.676304341624811
18,98,18,98,0,7,0,7,91,1,97,4,94,12,86,63.096104949655228,0.688040246995748
19,695,19,695,0,63,81,144,551,166,529,69,626,182,513,14.976510289674659,2.734023770627776
20,148,20,148,41,0,0,41,107,21,127,0,148,17,131,57.817966908386083,2.574996356587247
21,706,21,706,9,0,6,15,691,49,657,0,706,17,689,91.509226094123662,3.776283490138341
22,753,22,753,0,0,0,0,753,129,624,0,753,3,750,29.089703226953649,1.626107824300383
23,2941,23,2941,0,0,0,0,2941,563,2378,0,2941,5,2936,52.545970335206597,3.836118080266624
24,2560,24,2560,39,20,298,357,2205,1217,1343,138,2422,3,2557,106.067250120736060,25.656769213832959
25,6874,25,6874,30,2660,984,3674,3226,312,6562,3695,3179,5191,1683,33.977352795323988,7.309180094720412
26,144,26,144,5,18,3,26,118,29,115,0,144,30,114,9.800988014007347,1.315063099453234
27,935,27,935,3,0,24,27,908,276,659,0,935,8,927,28.862735625426787,3.767553941551174
28,721,28,721,143,53,13,209,515,116,605,0,721,88,633,57.418160884033441,4.971103255643789
29,869,29,869,75,8,52,135,734,188,681,0,869,82,787,37.637996461880491,2.944898814131608
30,275,30,275,7,2,0,9,266,80,195,0,275,11,264,20.729602455112282,1.187558831106452
31,837,31,837,0,340,20,360,477,154,683,542,295,633,204,26.337705670180384,3.392517181177595
32,2769,32,2769,45,37,297,379,2393,148,2621,279,2490,1176,1593,21.834990333718412,7.051020237677816
33,1775,33,1775,22,95,181,298,1477,149,1626,388,1387,1198,577,34.525708042448287,5.889953769551211
34,33,34,33,0,0,0,0,33,0,33,0,33,0,33,3.051618427690130,0.260731175689270