OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,546,1,546,8,99,35,142,404,80,466,106,440,145,401,31.652582314959215,4.625575592025496
2,9,2,9,0,0,0,0,9,1,8,0,9,0,9,5.532011617744966,0.459702601180630
3,213,3,213,0,0,9,9,204,8,205,8,205,40,173,20.101205100762389,1.360511159600084
4,123,4,123,0,0,0,0,123,2,121,0,123,1,122,8.659101644461440,0.764980362563783
5,224,5,224,2,18,0,20,204,4,220,5,219,80,144,12.250581244791922,1.638859680366131
6,200,6,200,18,4,30,52,148,12,188,0,200,1,199,9.565782119257808,0.974541465553969
7,44,7,44,21,0,0,21,23,1,43,6,38,0,44,129.452622681777400,7.794306285101017
8,4,8,4,0,0,0,0,4,0,4,0,4,0,4,2.485415962523863,0.055148012793993
9,1552,9,1552,25,536,258,819,734,61,1491,745,807,880,672,12.169852521721037,3.990424221580781
10,504,10,504,0,0,0,0,504,5,499,0,504,48,456,11.249195162316779,3.031572801381985
11,188,11,188,0,0,0,0,188,0,188,0,188,4,184,15.630412258900391,2.814932558738421
12,1091,12,1091,0,0,0,0,1091,626,465,0,1091,25,1066,32.311926643889642,3.942800999319827
13,3577,13,3577,119,1839,460,2418,1245,314,3263,851,2726,1195,2382,41.312590731237563,11.941943778489515
14,1523,14,1523,52,58,206,316,1227,117,1406,128,1395,346,1177,19.376102694462588,3.033327502897022
15,5719,15,5719,464,1792,124,2380,3500,1222,4497,2509,3210,1586,4133,22.961417323658534,12.481025532768541
16,1337,16,1337,193,387,169,749,673,51,1286,10,1327,421,916,53.249992514628012,10.313370495716866
17,817,17,817,74,283,272,629,263,22,795,1,816,502,315,46.795915545469803,5.676304341624811
18,362,18,362,0,26,0,26,336,1,361,9,353,36,326,63.096104949655228,0.688040246995748
19,406,19,406,0,32,52,84,322,88,318,13,393,72,334,14.976510289674659,2.734023770627776
20,102,20,102,15,0,0,15,87,12,90,0,102,7,95,57.817966908386083,2.574996356587247
21,503,21,503,16,0,2,18,485,18,485,0,503,17,486,91.509226094123662,3.776283490138341
22,670,22,670,0,0,0,0,670,114,556,0,670,6,664,29.089703226953649,1.626107824300383
23,3090,23,3090,0,0,0,0,3090,653,2437,0,3090,18,3072,52.545970335206597,3.836118080266624
24,1476,24,1476,27,31,147,205,1272,662,814,84,1392,22,1454,106.067250120736060,25.656769213832959
25,23062,25,23062,46,5290,7457,12793,10410,556,22506,18214,4848,17298,5764,33.977352795323988,7.309180094720412
26,158,26,158,1,2,13,16,142,44,114,0,158,19,139,9.800988014007347,1.315063099453234
27,845,27,845,0,1,17,18,827,227,618,0,845,5,840,28.862735625426787,3.767553941551174
28,494,28,494,91,31,11,133,366,62,432,0,494,56,438,57.418160884033441,4.971103255643789
29,758,29,758,19,7,38,64,694,113,645,0,758,104,654,37.637996461880491,2.944898814131608
30,300,30,300,6,3,0,9,291,58,242,0,300,9,291,20.729602455112282,1.187558831106452
31,344,31,344,0,76,20,96,250,93,251,88,256,155,189,26.337705670180384,3.392517181177595
32,1918,32,1918,10,43,138,191,1727,69,1849,108,1810,758,1160,21.834990333718412,7.051020237677816
33,3220,33,3220,17,200,398,615,2608,191,3029,1578,1642,2429,791,34.525708042448287,5.889953769551211
34,18,34,18,0,0,0,0,18,0,18,0,18,0,18,3.051618427690130,0.260731175689270