OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,1162,1,1162,12,292,33,337,825,75,1087,624,538,308,854,31.652582314959215,4.625575592025496
2,7,2,7,0,0,0,0,7,0,7,0,7,1,6,5.532011617744966,0.459702601180630
3,1161,3,1161,0,0,63,63,1098,67,1094,33,1128,199,962,20.101205100762389,1.360511159600084
4,105,4,105,0,0,0,0,105,3,102,0,105,14,91,8.659101644461440,0.764980362563783
5,229,5,229,9,26,0,35,199,12,217,6,223,37,192,12.250581244791922,1.638859680366131
6,197,6,197,12,0,18,30,167,17,180,0,197,2,195,9.565782119257808,0.974541465553969
7,172,7,172,111,0,0,111,61,2,170,31,141,11,161,129.452622681777400,7.794306285101017
8,17,8,17,0,0,0,0,17,0,17,0,17,0,17,2.485415962523863,0.055148012793993
9,1889,9,1889,41,206,547,794,1102,112,1777,290,1599,614,1275,12.169852521721037,3.990424221580781
10,704,10,704,0,0,0,0,704,27,677,0,704,59,645,11.249195162316779,3.031572801381985
11,366,11,366,0,0,0,0,366,100,266,0,366,18,348,15.630412258900391,2.814932558738421
12,847,12,847,0,0,0,0,847,245,602,0,847,38,809,32.311926643889642,3.942800999319827
13,12076,13,12076,367,5750,1664,7781,4572,939,11137,4144,7932,4771,7305,41.312590731237563,11.941943778489515
14,4107,14,4107,59,113,477,649,3515,245,3862,668,3439,1415,2692,19.376102694462588,3.033327502897022
15,15453,15,15453,819,3662,260,4741,11149,5187,10266,8153,7300,2972,12481,22.961417323658534,12.481025532768541
16,3556,16,3556,771,1076,427,2274,1611,219,3337,118,3438,1273,2283,53.249992514628012,10.313370495716866
17,444,17,444,90,152,15,257,218,60,384,0,444,136,308,46.795915545469803,5.676304341624811
18,253,18,253,0,12,0,12,241,1,252,0,253,62,191,63.096104949655228,0.688040246995748
19,658,19,658,0,59,56,115,543,104,554,65,593,177,481,14.976510289674659,2.734023770627776
20,291,20,291,54,0,0,54,237,103,188,0,291,22,269,57.817966908386083,2.574996356587247
21,1158,21,1158,25,0,14,39,1119,57,1101,0,1158,62,1096,91.509226094123662,3.776283490138341
22,1414,22,1414,0,0,0,0,1414,612,802,0,1414,1,1413,29.089703226953649,1.626107824300383
23,3266,23,3266,0,0,0,0,3266,641,2625,0,3266,15,3251,52.545970335206597,3.836118080266624
24,2297,24,2297,41,32,284,357,1941,1016,1281,207,2090,13,2284,106.067250120736060,25.656769213832959
25,10911,25,10911,307,2383,3269,5959,5119,505,10406,7090,3821,6778,4133,33.977352795323988,7.309180094720412
26,215,26,215,14,6,2,22,193,58,157,0,215,7,208,9.800988014007347,1.315063099453234
27,989,27,989,0,1,14,15,974,291,698,0,989,46,943,28.862735625426787,3.767553941551174
28,954,28,954,136,74,16,226,733,153,801,0,954,85,869,57.418160884033441,4.971103255643789
29,1286,29,1286,288,10,71,369,917,147,1139,0,1286,254,1032,37.637996461880491,2.944898814131608
30,354,30,354,4,3,0,7,347,42,312,0,354,33,321,20.729602455112282,1.187558831106452
31,792,31,792,1,106,91,198,601,210,582,257,535,268,524,26.337705670180384,3.392517181177595
32,6254,32,6254,33,93,1796,1922,4339,266,5988,1921,4333,2830,3424,21.834990333718412,7.051020237677816
33,1498,33,1498,28,102,442,572,927,151,1347,245,1253,876,622,34.525708042448287,5.889953769551211
34,20,34,20,0,0,0,0,20,0,20,0,20,0,20,3.051618427690130,0.260731175689270