OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,517,1,517,9,146,24,179,338,36,481,255,262,195,322,31.652582314959215,4.625575592025496
2,5,2,5,0,0,0,0,5,0,5,0,5,0,5,5.532011617744966,0.459702601180630
3,218,3,218,0,0,3,3,215,12,206,6,212,36,182,20.101205100762389,1.360511159600084
4,68,4,68,0,0,0,0,68,0,68,0,68,0,68,8.659101644461440,0.764980362563783
5,74,5,74,1,7,0,8,67,2,72,4,70,17,57,12.250581244791922,1.638859680366131
6,30,6,30,1,1,0,2,28,1,29,0,30,0,30,9.565782119257808,0.974541465553969
7,97,7,97,27,0,0,27,70,4,93,6,91,0,97,129.452622681777400,7.794306285101017
8,13,8,13,0,0,0,0,13,0,13,0,13,0,13,2.485415962523863,0.055148012793993
9,427,9,427,5,8,111,124,303,13,414,36,391,99,328,12.169852521721037,3.990424221580781
10,463,10,463,0,0,0,0,463,0,463,0,463,23,440,11.249195162316779,3.031572801381985
11,109,11,109,0,0,0,0,109,0,109,0,109,0,109,15.630412258900391,2.814932558738421
12,399,12,399,0,0,0,0,399,128,271,0,399,2,397,32.311926643889642,3.942800999319827
13,1389,13,1389,43,586,211,840,593,105,1284,260,1129,398,991,41.312590731237563,11.941943778489515
14,80,14,80,0,7,14,21,62,4,76,7,73,14,66,19.376102694462588,3.033327502897022
15,443,15,443,98,120,15,233,238,30,413,55,388,65,378,22.961417323658534,12.481025532768541
16,1104,16,1104,178,279,164,621,538,29,1075,55,1049,379,725,53.249992514628012,10.313370495716866
17,320,17,320,58,147,39,244,113,9,311,7,313,150,170,46.795915545469803,5.676304341624811
18,233,18,233,0,12,0,12,221,1,232,0,233,77,156,63.096104949655228,0.688040246995748
19,134,19,134,0,18,13,31,103,31,103,3,131,24,110,14.976510289674659,2.734023770627776
20,174,20,174,5,0,0,5,169,108,66,0,174,0,174,57.817966908386083,2.574996356587247
21,200,21,200,0,0,0,0,200,6,194,0,200,1,199,91.509226094123662,3.776283490138341
22,242,22,242,0,0,0,0,242,53,189,0,242,0,242,29.089703226953649,1.626107824300383
23,1072,23,1072,0,0,0,0,1072,160,912,0,1072,1,1071,52.545970335206597,3.836118080266624
24,719,24,719,31,10,17,58,663,314,405,20,699,19,700,106.067250120736060,25.656769213832959
25,4104,25,4104,117,762,1233,2112,2042,169,3935,2973,1131,2527,1577,33.977352795323988,7.309180094720412
26,18,26,18,0,2,1,3,15,1,17,0,18,3,15,9.800988014007347,1.315063099453234
27,634,27,634,0,0,0,0,634,203,431,0,634,1,633,28.862735625426787,3.767553941551174
28,310,28,310,53,12,5,70,241,12,298,0,310,57,253,57.418160884033441,4.971103255643789
29,161,29,161,79,0,4,83,78,17,144,0,161,67,94,37.637996461880491,2.944898814131608
30,165,30,165,0,0,0,0,165,5,160,0,165,1,164,20.729602455112282,1.187558831106452
31,173,31,173,0,12,9,21,153,62,111,34,139,43,130,26.337705670180384,3.392517181177595
32,928,32,928,0,16,109,125,803,33,895,107,821,394,534,21.834990333718412,7.051020237677816
33,778,33,778,13,19,195,227,551,114,664,187,591,336,442,34.525708042448287,5.889953769551211
34,16,34,16,0,0,0,0,16,0,16,0,16,0,16,3.051618427690130,0.260731175689270