OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,878,1,878,9,234,45,288,590,64,814,466,412,296,582,31.652582314959215,4.625575592025496
2,12,2,12,0,0,0,0,12,2,10,0,12,0,12,5.532011617744966,0.459702601180630
3,452,3,452,0,0,57,57,395,24,428,15,437,62,390,20.101205100762389,1.360511159600084
4,145,4,145,0,0,0,0,145,0,145,0,145,11,134,8.659101644461440,0.764980362563783
5,327,5,327,39,34,1,74,270,21,306,23,304,94,233,12.250581244791922,1.638859680366131
6,41,6,41,4,1,3,8,34,2,39,0,41,2,39,9.565782119257808,0.974541465553969
7,76,7,76,19,0,0,19,57,2,74,6,70,1,75,129.452622681777400,7.794306285101017
8,4,8,4,0,0,0,0,4,0,4,0,4,0,4,2.485415962523863,0.055148012793993
9,1950,9,1950,115,205,511,831,1131,371,1579,886,1064,628,1322,12.169852521721037,3.990424221580781
10,572,10,572,0,0,0,0,572,20,552,0,572,67,505,11.249195162316779,3.031572801381985
11,237,11,237,0,0,0,0,237,14,223,0,237,26,211,15.630412258900391,2.814932558738421
12,829,12,829,0,0,0,0,829,183,646,0,829,41,788,32.311926643889642,3.942800999319827
13,4966,13,4966,199,1940,884,3023,2106,482,4484,1169,3797,1640,3326,41.312590731237563,11.941943778489515
14,2441,14,2441,36,47,238,321,2128,100,2341,343,2098,599,1842,19.376102694462588,3.033327502897022
15,6099,15,6099,383,1513,82,1978,4245,1053,5046,2802,3297,1239,4860,22.961417323658534,12.481025532768541
16,1377,16,1377,264,431,193,888,649,83,1294,8,1369,427,950,53.249992514628012,10.313370495716866
17,215,17,215,51,89,43,183,59,1,214,25,190,71,144,46.795915545469803,5.676304341624811
18,113,18,113,0,32,0,32,81,0,113,0,113,10,103,63.096104949655228,0.688040246995748
19,998,19,998,0,72,55,127,871,198,800,55,943,190,808,14.976510289674659,2.734023770627776
20,105,20,105,6,0,0,6,99,49,56,0,105,2,103,57.817966908386083,2.574996356587247
21,588,21,588,2,0,1,3,585,28,560,0,588,56,532,91.509226094123662,3.776283490138341
22,647,22,647,0,0,0,0,647,205,442,0,647,1,646,29.089703226953649,1.626107824300383
23,3226,23,3226,0,0,0,0,3226,630,2596,0,3226,6,3220,52.545970335206597,3.836118080266624
24,1778,24,1778,25,58,224,307,1509,842,936,78,1700,54,1724,106.067250120736060,25.656769213832959
25,6842,25,6842,300,1581,2168,4049,2881,250,6592,4777,2065,3934,2908,33.977352795323988,7.309180094720412
26,120,26,120,3,0,1,4,116,20,100,0,120,2,118,9.800988014007347,1.315063099453234
27,777,27,777,0,2,11,13,764,231,546,0,777,7,770,28.862735625426787,3.767553941551174
28,511,28,511,94,41,9,144,369,72,439,0,511,62,449,57.418160884033441,4.971103255643789
29,544,29,544,98,6,32,136,408,91,453,0,544,102,442,37.637996461880491,2.944898814131608
30,202,30,202,3,1,0,4,198,57,145,0,202,5,197,20.729602455112282,1.187558831106452
31,575,31,575,0,49,82,131,457,129,446,217,358,223,352,26.337705670180384,3.392517181177595
32,7274,32,7274,76,303,1326,1705,5573,304,6970,2565,4709,3697,3577,21.834990333718412,7.051020237677816
33,899,33,899,31,75,104,210,689,153,746,208,691,292,607,34.525708042448287,5.889953769551211
34,17,34,17,0,0,0,0,17,0,17,0,17,0,17,3.051618427690130,0.260731175689270