OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,1081,1,1081,9,169,32,210,871,57,1024,609,472,340,741,31.652582314959215,4.625575592025496
2,15,2,15,0,0,0,0,15,4,11,0,15,0,15,5.532011617744966,0.459702601180630
3,308,3,308,0,0,11,11,297,32,276,9,299,14,294,20.101205100762389,1.360511159600084
4,60,4,60,0,0,0,0,60,1,59,0,60,0,60,8.659101644461440,0.764980362563783
5,133,5,133,9,9,1,19,118,8,125,2,131,12,121,12.250581244791922,1.638859680366131
6,61,6,61,5,0,0,5,56,4,57,0,61,1,60,9.565782119257808,0.974541465553969
7,66,7,66,24,0,0,24,42,5,61,6,60,1,65,129.452622681777400,7.794306285101017
8,13,8,13,0,0,0,0,13,0,13,0,13,0,13,2.485415962523863,0.055148012793993
9,1262,9,1262,19,22,592,633,633,100,1162,206,1056,344,918,12.169852521721037,3.990424221580781
10,429,10,429,0,0,0,0,429,7,422,0,429,27,402,11.249195162316779,3.031572801381985
11,195,11,195,0,0,0,0,195,1,194,0,195,4,191,15.630412258900391,2.814932558738421
12,467,12,467,0,0,0,0,467,74,393,0,467,17,450,32.311926643889642,3.942800999319827
13,3878,13,3878,194,1341,891,2426,1554,324,3554,979,2899,998,2880,41.312590731237563,11.941943778489515
14,902,14,902,30,27,152,209,702,81,821,103,799,131,771,19.376102694462588,3.033327502897022
15,3670,15,3670,708,907,161,1776,2081,589,3081,1154,2516,735,2935,22.961417323658534,12.481025532768541
16,1341,16,1341,330,333,223,886,576,37,1304,40,1301,371,970,53.249992514628012,10.313370495716866
17,203,17,203,56,56,23,135,95,13,190,13,190,69,134,46.795915545469803,5.676304341624811
18,160,18,160,0,16,0,16,144,0,160,1,159,47,113,63.096104949655228,0.688040246995748
19,236,19,236,0,35,19,54,182,53,183,5,231,13,223,14.976510289674659,2.734023770627776
20,106,20,106,12,0,0,12,94,33,73,0,106,5,101,57.817966908386083,2.574996356587247
21,362,21,362,4,0,2,6,356,30,332,0,362,7,355,91.509226094123662,3.776283490138341
22,533,22,533,0,0,0,0,533,117,416,0,533,0,533,29.089703226953649,1.626107824300383
23,2367,23,2367,0,0,0,0,2367,436,1931,0,2367,4,2363,52.545970335206597,3.836118080266624
24,2094,24,2094,30,83,248,361,1785,892,1202,96,1998,221,1873,106.067250120736060,25.656769213832959
25,15099,25,15099,562,2939,4234,7735,7527,557,14542,10903,4196,8550,6549,33.977352795323988,7.309180094720412
26,97,26,97,0,0,3,3,94,17,80,0,97,13,84,9.800988014007347,1.315063099453234
27,863,27,863,0,12,6,18,845,286,577,0,863,5,858,28.862735625426787,3.767553941551174
28,612,28,612,121,48,14,183,441,91,521,0,612,31,581,57.418160884033441,4.971103255643789
29,600,29,600,67,7,48,122,478,95,505,0,600,63,537,37.637996461880491,2.944898814131608
30,199,30,199,2,0,0,2,197,14,185,0,199,7,192,20.729602455112282,1.187558831106452
31,331,31,331,0,22,38,60,271,89,242,73,258,59,272,26.337705670180384,3.392517181177595
32,1659,32,1659,17,33,209,259,1402,97,1562,204,1455,517,1142,21.834990333718412,7.051020237677816
33,1053,33,1053,72,55,169,296,758,174,879,179,874,322,731,34.525708042448287,5.889953769551211
34,12,34,12,0,0,0,0,12,0,12,0,12,0,12,3.051618427690130,0.260731175689270