OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,1713,1,1713,29,367,22,418,1298,187,1526,856,857,497,1216,31.652582314959215,4.625575592025496
2,38,2,38,0,0,0,0,38,30,8,0,38,8,30,5.532011617744966,0.459702601180630
3,910,3,910,0,0,54,54,856,89,821,41,869,87,823,20.101205100762389,1.360511159600084
4,113,4,113,0,0,0,0,113,1,112,0,113,5,108,8.659101644461440,0.764980362563783
5,161,5,161,6,11,0,17,146,18,143,1,160,17,144,12.250581244791922,1.638859680366131
6,173,6,173,18,2,14,34,139,7,166,0,173,8,165,9.565782119257808,0.974541465553969
7,199,7,199,56,0,0,56,143,20,179,30,169,2,197,129.452622681777400,7.794306285101017
8,4,8,4,0,0,0,0,4,0,4,0,4,0,4,2.485415962523863,0.055148012793993
9,1588,9,1588,66,109,484,659,941,305,1283,778,810,396,1192,12.169852521721037,3.990424221580781
10,493,10,493,0,0,0,0,493,14,479,0,493,47,446,11.249195162316779,3.031572801381985
11,398,11,398,0,0,0,0,398,146,252,0,398,6,392,15.630412258900391,2.814932558738421
12,1694,12,1694,0,0,0,0,1694,985,709,0,1694,61,1633,32.311926643889642,3.942800999319827
13,9108,13,9108,190,3674,1559,5423,3909,885,8223,3517,5591,2826,6282,41.312590731237563,11.941943778489515
14,3337,14,3337,83,107,436,626,2751,219,3118,416,2921,578,2759,19.376102694462588,3.033327502897022
15,13401,15,13401,711,3050,529,4290,9389,2792,10609,6888,6513,2245,11156,22.961417323658534,12.481025532768541
16,3611,16,3611,825,985,597,2407,1566,217,3394,136,3475,1025,2586,53.249992514628012,10.313370495716866
17,610,17,610,177,188,110,475,229,23,587,41,569,242,368,46.795915545469803,5.676304341624811
18,669,18,669,0,53,0,53,616,1,668,18,651,129,540,63.096104949655228,0.688040246995748
19,911,19,911,0,58,47,105,806,193,718,50,861,171,740,14.976510289674659,2.734023770627776
20,468,20,468,34,0,0,34,434,143,325,0,468,147,321,57.817966908386083,2.574996356587247
21,931,21,931,13,0,5,18,913,78,853,0,931,33,898,91.509226094123662,3.776283490138341
22,2037,22,2037,0,0,0,0,2037,1209,828,0,2037,2,2035,29.089703226953649,1.626107824300383
23,4041,23,4041,0,0,0,0,4041,927,3114,0,4041,19,4022,52.545970335206597,3.836118080266624
24,5966,24,5966,33,213,878,1124,4926,2577,3389,296,5670,243,5723,106.067250120736060,25.656769213832959
25,21601,25,21601,409,3977,8111,12497,9481,562,21039,19133,2468,11188,10413,33.977352795323988,7.309180094720412
26,198,26,198,5,6,1,12,186,48,150,0,198,9,189,9.800988014007347,1.315063099453234
27,1323,27,1323,0,14,28,42,1281,539,784,0,1323,20,1303,28.862735625426787,3.767553941551174
28,1277,28,1277,295,67,27,389,899,179,1098,0,1277,103,1174,57.418160884033441,4.971103255643789
29,1256,29,1256,147,19,54,220,1036,209,1047,0,1256,114,1142,37.637996461880491,2.944898814131608
30,240,30,240,6,0,0,6,234,45,195,0,240,18,222,20.729602455112282,1.187558831106452
31,282,31,282,0,22,32,54,229,99,183,71,211,67,215,26.337705670180384,3.392517181177595
32,9456,32,9456,47,218,3979,4244,5216,857,8599,4496,4960,4245,5211,21.834990333718412,7.051020237677816
33,2398,33,2398,287,241,146,674,1726,403,1995,481,1917,920,1478,34.525708042448287,5.889953769551211
34,5,34,5,0,0,0,0,5,0,5,0,5,0,5,3.051618427690130,0.260731175689270